Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
47,1225,2,4,2,0,47,4,4,2,15972,21086,6,0,14,3,3,3,29,2,3,3,2,1,2,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,594,2,1,3,1,100,3,1,4,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
46,406,3,1,1,1,52,3,4,3,17465,15596,3,0,12,3,4,1,23,3,3,12,9,4,9,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
25,622,13,1,2,1,40,3,1,3,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
43,1001,9,5,4,1,72,3,2,3,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,1157,2,4,1,1,84,1,1,4,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
51,833,1,3,3,1,96,3,1,4,2723,23231,1,0,11,3,2,0,1,0,2,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
43,1082,27,3,3,0,83,3,3,1,10820,11535,8,0,11,3,3,1,18,1,3,8,7,0,1,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
40,118,14,2,4,0,84,3,2,1,4639,11262,1,0,15,3,3,1,5,2,3,5,4,1,2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
27,205,10,3,4,0,98,2,2,4,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
36,1218,9,4,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
29,694,1,3,4,0,87,2,4,4,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
