,importance
StockOptionLevel,0.08363431315067024
MaritalStatus_Married,0.07152250582036922
JobSatisfaction,0.0636156060831526
JobLevel,0.05490260366587278
Department_Research & Development,0.05216615308682003
MonthlyIncome,0.0520565185839878
EnvironmentSatisfaction,0.0447820626353519
YearsWithCurrManager,0.0434835041352839
JobInvolvement,0.039906805174818816
Age,0.03473053896150138
WorkLifeBalance,0.03287142650465177
YearsInCurrentRole,0.03137923841012625
YearsAtCompany,0.03105319605204235
TotalWorkingYears,0.030189230718214128
EducationField_Medical,0.028638727121845713
MonthlyRate,0.026175374934228567
Education,0.022119721298298044
RelationshipSatisfaction,0.021843096216837492
DistanceFromHome,0.02153619836075358
JobRole_Research Scientist,0.020922984853377062
DailyRate,0.02052584653162302
HourlyRate,0.019373672477896633
NumCompaniesWorked,0.015583530020441085
EducationField_Life Sciences,0.014890973789968105
BusinessTravel_Travel_Rarely,0.014657438356171375
TrainingTimesLastYear,0.014298640243014457
Department_Sales,0.013676244592608732
MaritalStatus_Single,0.012607521899959031
PercentSalaryHike,0.012222494738241321
YearsSinceLastPromotion,0.011368912221213796
Gender,0.0075811418924788595
JobRole_Sales Executive,0.0062969303317279915
OverTime,0.005824960243310876
JobRole_Manufacturing Director,0.0045562481286925685
JobRole_Laboratory Technician,0.0034616777527826247
EducationField_Marketing,0.002879144046072375
PerformanceRating,0.002220996315934457
EducationField_Technical Degree,0.001916555478870137
BusinessTravel_Travel_Frequently,0.0019158444992665503
JobRole_Manager,0.001910086736898235
JobRole_Human Resources,0.0015238012245756393
EducationField_Other,0.0013990433663268545
JobRole_Sales Representative,0.0010102629116294421
JobRole_Research Director,0.0007682264320922656
