,importance
StockOptionLevel,22.94156265258789
JobLevel,15.536782264709473
Department_Sales,14.775023460388184
MaritalStatus_Married,13.860666275024414
JobRole_Sales Executive,10.9935884475708
MaritalStatus_Single,10.940893173217773
JobSatisfaction,9.482105255126953
Department_Research & Development,9.059784889221191
JobRole_Research Scientist,8.793445587158203
EducationField_Medical,8.78376293182373
JobInvolvement,7.585810661315918
EducationField_Technical Degree,6.987194538116455
WorkLifeBalance,6.641127586364746
EnvironmentSatisfaction,6.256816387176514
Education,6.195654392242432
EducationField_Marketing,5.748757839202881
YearsWithCurrManager,4.799774646759033
EducationField_Life Sciences,4.534964084625244
BusinessTravel_Travel_Rarely,4.305380821228027
RelationshipSatisfaction,4.263317108154297
YearsAtCompany,3.87591552734375
Age,3.7516896724700928
OverTime,3.5539305210113525
NumCompaniesWorked,3.1735401153564453
JobRole_Laboratory Technician,3.0101003646850586
TrainingTimesLastYear,2.9656524658203125
MonthlyIncome,2.881263494491577
YearsSinceLastPromotion,2.736964464187622
YearsInCurrentRole,2.689394950866699
Gender,2.6634109020233154
MonthlyRate,2.617774486541748
TotalWorkingYears,2.5493345260620117
PerformanceRating,2.48468279838562
DailyRate,2.3706769943237305
DistanceFromHome,2.129378080368042
HourlyRate,2.072283983230591
PercentSalaryHike,1.6316653490066528
